Grupo,Tanaj,Biblia Católica,Biblia Etíope,BIBLIOTECA,Fecha aproximada,Idioma original,Resumen
Torá / Antiguo Testamento,Génesis,Génesis,Génesis,,siglo X–VI a.C.,Hebreo,"Orígenes del mundo, humanidad, pecado, patriarcas (Abraham, Isaac, Jacob) y José en Egipto. Enfatiza creación, pacto ypromesas"
Torá / Antiguo Testamento,Éxodo,Éxodo,Éxodo,,siglo X–VI a.C.,Hebreo,"Liberación de Israel de Egipto (plagas, Pascua, Mar Rojo), alianza en el Sinaí y entrega de la Ley (Diez Mandamientos). Dios como libertador"
Torá / Antiguo Testamento,Levítico,Levítico,Levítico,,siglo X–VI a.C.,Hebreo,"Leyes rituales, sacrificios, pureza, santidad y fiestas. “Sed santos porque yo soy santo”"
Torá / Antiguo Testamento,Números,Números,Números,,siglo X–VI a.C.,Hebreo,"Censo, peregrinación por el desierto (40 años), rebeliones y preparativos para Canaán. Mezcla narrativa e instrucciones"
Torá / Antiguo Testamento,Deuteronomio,Deuteronomio,Deuteronomio,,siglo VII–VI a.C.,Hebreo,"Discursos de Moisés recordando la Ley, alianza y bendiciones/maldiciones. Enfatiza amor a Dios y obediencia antes de entrar en la Tierra Prometida"
Antiguo Testamento,Josué,Josué,Josué,,siglo VII–VI a.C.,Hebreo,"Conquista de Canaán bajo Josué, reparto de la tierra y renovación de la alianza"
Antiguo Testamento,Jueces,Jueces,Jueces,,siglo VII–VI a.C.,Hebreo,"Ciclo de apostasía, opresión, liberación por jueces (Gedeón, Débora, Sansón) y caos moral (“cada uno hacía lo que le parecía bien”)"
Antiguo Testamento,Rut,Rut,Rut,,siglo VI–V a.C.,Hebreo,Historia idílica de lealtad; Rut (moabita) se integra a Israel y es antepasada de David. Temas de providencia y redención
Antiguo Testamento,1 Samuel,1 Samuel,1 Samuel,,siglo VII–VI a.C.,Hebreo,"Transición de jueces a monarquía: Samuel, Saúl y ascenso de David"
Antiguo Testamento,2 Samuel,2 Samuel,2 Samuel,,siglo VII–VI a.C.,Hebreo,"Transición de jueces a monarquía: Samuel, Saúl y ascenso de David"
Antiguo Testamento,1 Reyes,1 Reyes,1 Reyes,,siglo VI a.C.,Hebreo,"Salomón (templo, sabiduría), división del reino y reyes iniciales de Judá e Israel"
Antiguo Testamento,2 Reyes,2 Reyes,2 Reyes,,siglo VI a.C.,Hebreo,"Historia de los reinos hasta la caída de Israel (Asiria) y Judá (Babilonia). Énfasis en profetas (Elías, Eliseo)"
Antiguo Testamento,1 Crónicas,1 Crónicas,1 Crónicas,,siglo IV a.C.,Hebreo,Genealogías y reinado de David (versión idealizada)
Antiguo Testamento,2 Crónicas,2 Crónicas,2 Crónicas,,siglo IV a.C.,Hebreo,"Salomón y reyes de Judá, con enfoque en templo y reforma"
Antiguo Testamento,Esdras,Esdras,Esdras,,siglo IV a.C.,Hebreo/Arameo,"Regreso del exilio, reconstrucción del templo y reforma bajo Esdras"
Antiguo Testamento,Nehemías,Nehemías,Nehemías,,siglo IV a.C.,Hebreo,Reconstrucción de murallas de Jerusalén y reforma social/religiosa
Antiguo Testamento,Ester,Ester,Ester,,siglo IV–III a.C.,Hebreo,Judía que salva a su pueblo de genocidio en Persia (Purim). Providencia oculta
Antiguo Testamento,Job,Job,Job,,siglo VI–IV a.C.,Hebreo,"Sufrimiento del justo Job, diálogos con amigos y encuentro con Dios. Cuestiona retribución y soberanía divina"
Antiguo Testamento,Salmos,Salmos,Salmos,,siglo X–V a.C.,Hebreo,"150 himnos/oraciones de alabanza, lamento, confianza y realeza mesiánica"
Antiguo Testamento,Proverbios,Proverbios,Proverbios,,siglo X–V a.C.,Hebreo,Sabiduría práctica para la vida (temor de Dios como principio)
Antiguo Testamento,Eclesiastés,Eclesiastés,Eclesiastés,,siglo III a.C.,Hebreo,“Vanidad de vanidades”. Reflexión escéptica sobre sentido de la vida bajo el sol; temor a Dios como conclusión
Antiguo Testamento,Cantar de los Cantares,Cantar de los Cantares,Cantar de los Cantares,,siglo X–V a.C.,Hebreo,Poema erótico/alegórico sobre amor humano (y/o divino)
Antiguo Testamento,Isaías,Isaías,Isaías,,siglo VIII–VI a.C.,Hebreo,"Juicio, resurrección, Siervo Sufriente y esperanza mesiánica"
Antiguo Testamento,Jeremías,Jeremías,Jeremías,,siglo VII–VI a.C.,Hebreo,Llamado al arrepentimiento antes del exilio; “nuevo pacto”
Antiguo Testamento,Lamentaciones,Lamentaciones,Lamentaciones,,siglo VI a.C.,Hebreo,Lamentos por destrucción de Jerusalén (atribuidos tradicionalmente a Jeremías)
Antiguo Testamento,Ezequiel,Ezequiel,Ezequiel,,siglo VI a.C.,Hebreo,"Visión de gloria de Dios, exilio, restauración y templo futuro"
Antiguo Testamento,Daniel,Daniel,Daniel,,siglo II a.C.,Hebreo/Arameo,Historias en corte babilónica + visiones apocalípticas de reinos y fin de los tiempos.
Antiguo Testamento,Oseas,Oseas,Oseas,,siglo VIII a.C.,Hebreo,Matrimonio simbólico de infidelidad; amor de Dios por Israel infiel
Antiguo Testamento,Joel,Joel,Joel,,siglo V–IV a.C.,Hebreo,"Plaga de langostas, “día del Señor” y derramamiento del Espíritu"
Antiguo Testamento,Amós,Amós,Amós,,siglo VIII a.C.,Hebreo,Justicia social; juicio contra opresión e idolatría
Antiguo Testamento,Abdías,Abdías,Abdías,,siglo VI a.C.,Hebreo,Juicio contra Edom
Antiguo Testamento,Jonás,Jonás,Jonás,,siglo V a.C.,Hebreo,Misión a Nínive; misericordia de Dios incluso para paganos
Antiguo Testamento,Miqueas,Miqueas,Miqueas,,siglo VIII a.C.,Hebreo,"Juicio, restauración y promesa mesiánica (“Belén”)"
Antiguo Testamento,Nahúm,Nahúm,Nahúm,,siglo VII a.C.,Hebreo,Caída de Nínive/Asiria
Antiguo Testamento,Habacuc,Habacuc,Habacuc,,siglo VII–VI a.C.,Hebreo,“El justo vivirá por su fe”; queja y confianza en medio de injusticia.
Antiguo Testamento,Sofonías,Sofonías,Sofonías,,siglo VII a.C.,Hebreo,Día de juicio y restauración.
Antiguo Testamento,Ageo,Ageo,Ageo,,siglo VI a.C.,Hebreo,Reconstruir el templo.
Antiguo Testamento,Zacarías,Zacarías,Zacarías,,siglo VI a.C.,Hebreo,"Visiones, restauración y Mesías."
Antiguo Testamento,Malaquías,Malaquías,Malaquías,,siglo V a.C.,Hebreo,"Visiones, restauración y Mesías."
Deuterocanónicos / Antiguo Testamento,,Tobías,Tobías,,siglo III–II a.C.,Arameo/Hebreo,"Historia familiar con ángel Rafael; temas de piedad, matrimonio y providencia."
Deuterocanónicos / Antiguo Testamento,,Judit,Judit,,siglo II a.C.,Hebreo/Arameo,Heroína viuda que libera a Israel matando al general asirio.
Deuterocanónicos / Antiguo Testamento,,1 Macabeos,1 Macabeos,,siglo I a.C.,Hebreo (conservado en griego),Revuelta judía contra seléucidas (Antíoco IV) y dinastía asmonea.
Deuterocanónicos / Antiguo Testamento,,2 Macabeos,2 Macabeos,,siglo I a.C.,Griego,Versión más teológica de la revuelta; martirios y resurrección.
Deuterocanónicos / Antiguo Testamento,,Sabiduría,Sabiduría,,siglo I a.C.,Griego,Elogio de la Sabiduría divina; inmortalidad del alma y juicio.
Deuterocanónicos / Antiguo Testamento,,Eclesiástico (Sirácides),Eclesiástico (Sirácides),,siglo II a.C.,Hebreo (trad. al griego),"Sabiduría práctica, ética, temor de Dios e historia de Israel."
Deuterocanónicos / Antiguo Testamento,,Baruc,Baruc,,siglo II–I a.C.,Hebreo/Griego,Oraciones y sabiduría durante el exilio (incluye Carta de Jeremías).
Nuevo Testamento,,Mateo,Mateo,,~80–90 d.C.,Griego,"Jesús como Mesías judío; Sermón del Monte, Reino y Gran Comisión."
Nuevo Testamento,,Marcos,Marcos,,~65–70 d.C.,Griego,Jesús siervo sufriente; acción y milagros (el más corto).
Nuevo Testamento,,Lucas,Lucas,,~80–90 d.C.,Griego,"Jesús salvador universal; énfasis en pobres, marginados y Espíritu."
Nuevo Testamento,,Juan,Juan,,~90–100 d.C.,Griego,Jesús como Verbo divino; “señales” y discursos (“Yo soy”).
Nuevo Testamento,,Hechos de los Apóstoles,Hechos de los Apóstoles,,~80–90 d.C.,Griego,Expansión de la Iglesia (Pentecostés a Roma) por Pedro y Pablo.
Nuevo Testamento,,Romanos,Romanos,,~57 d.C.,Griego,"Doctrina de justificación por fe, pecado, gracia y vida en el Espíritu."
Nuevo Testamento,,1 Corintios,1 Corintios,,~54–55 d.C.,Griego,"Problemas prácticos en la iglesia (divisiones, moral, dones, resurrección)."
Nuevo Testamento,,2 Corintios,2 Corintios,,~55–56 d.C.,Griego,Defensa del apostolado de Pablo y ministerio de reconciliación.
Nuevo Testamento,,Gálatas,Gálatas,,~48–55 d.C.,Griego,"Justificación por fe, no por ley; libertad cristiana."
Nuevo Testamento,,Efesios,Efesios,,~60–90 d.C.,Griego,"Unidad en Cristo, Iglesia como cuerpo, vida cristiana."
Nuevo Testamento,,Filipenses,Filipenses,,~61–62 d.C.,Griego,Gozo en prisión; humildad de Cristo y contentamiento.
Nuevo Testamento,,Colosenses,Colosenses,,~60–90 d.C.,Griego,Supremacía de Cristo contra herejías.
Nuevo Testamento,,1 Tesalonicenses,1 Tesalonicenses,,~50–51 d.C.,Griego,Venida del Señor y vida santa.
Nuevo Testamento,,2 Tesalonicenses,2 Tesalonicenses,,~50–52 d.C.,Griego,Correcciones sobre la parusía.
Nuevo Testamento,,1 Timoteo,1 Timoteo,,~65–100 d.C.,Griego,Cartas pastorales; organización eclesial y conducta.
Nuevo Testamento,,2 Timoteo,2 Timoteo,,~65–100 d.C.,Griego,Cartas pastorales; organización eclesial y conducta.
Nuevo Testamento,,Tito,Tito,,~65–100 d.C.,Griego,Cartas pastorales; organización eclesial y conducta.
Nuevo Testamento,,Filemón,Filemón,,~60–61 d.C.,Griego,Súplica por el esclavo Onésimo.
Nuevo Testamento,,Hebreos,Hebreos,,~60–90 d.C.,Griego,Superioridad de Cristo sobre AT; fe y perseverancia.
Nuevo Testamento,,Santiago,Santiago,,~50–60 d.C.,Griego,Fe con obras; sabiduría práctica y justicia social.
Nuevo Testamento,,1 Pedro,1 Pedro,,~60–90 d.C.,Griego,Sufrimiento y esperanza en exilio.
Nuevo Testamento,,2 Pedro,2 Pedro,,~90–150 d.C.,Griego,Falsos maestros y venida del Señor.
Nuevo Testamento,,1 Juan,1 Juan,,~90–110 d.C.,Griego,"Amor, luz y discernir espíritus."
Nuevo Testamento,,2 Juan,2 Juan,,~90–110 d.C.,Griego,Hospitalidad y advertencias contra herejes.
Nuevo Testamento,,3 Juan,3 Juan,,~90–110 d.C.,Griego,Hospitalidad y advertencias contra herejes.
Nuevo Testamento,,Judas,Judas,,~65–90 d.C.,Griego,Lucha por la fe contra falsos maestros.
Nuevo Testamento,,Apocalipsis,Apocalipsis,,~95–100 d.C.,Griego,"Visión apocalíptica; juicio, triunfo de Cristo y Nueva Jerusalén."
Antiguo Testamento Etíope,,,1 Enoc,,siglo III–I a.C.,Arameo/Hebreo (conservado en Ge'ez),"Visión apocalíptica; ángeles caídos (Vigilantes), Nefilim, juicio, astronomía y Mesías (“Hijo del Hombre”). Muy influyente"
Antiguo Testamento Etíope,,,Jubileos,,siglo II a.C.,Hebreo (conservado en Ge'ez),"“Pequeño Génesis”; reescribe Génesis-Éxodo en períodos de jubileos (49 años). Calendario solar, leyes y detalles ampliados (s. II a.C.)."
Antiguo Testamento Etíope,,,1 Meqabyan,,siglo I–V d.C.,Ge'ez,"Libros únicos del canon etíope. Narran luchas contra idolatría, martirio y exhortaciones morales (distintos de los Macabeos griegos). Enfatizan fidelidad y juicio"
Antiguo Testamento Etíope,,,2 Meqabyan,,siglo I–V d.C.,Ge'ez,"Libros únicos del canon etíope. Narran luchas contra idolatría, martirio y exhortaciones morales (distintos de los Macabeos griegos). Enfatizan fidelidad y juicio"
Antiguo Testamento Etíope,,,3 Meqabyan,,siglo I–V d.C.,Ge'ez,"Libros únicos del canon etíope. Narran luchas contra idolatría, martirio y exhortaciones morales (distintos de los Macabeos griegos). Enfatizan fidelidad y juicio"
Nuevo Testamento Etíope,,,Sinodos,,siglo III–IV d.C.,Griego (trad. al Ge'ez),Colección de cánones y regulaciones eclesiales (parte del Octateuco etíope).
Nuevo Testamento Etíope,,,Libro de la Alianza I,,siglo IV–VII d.C.,Ge'ez,Reglas e instrucciones eclesiales (similar a constituciones apostólicas).
Nuevo Testamento Etíope,,,Libro de la Alianza II,,siglo IV–VII d.C.,Ge'ez,Reglas e instrucciones eclesiales (similar a constituciones apostólicas).
Nuevo Testamento Etíope,,,Octateuco de Clemente,,siglo IV d.C.,Griego (trad. al Ge'ez),"Compilación de ocho libros con enseñanzas apostólicas, liturgia y disciplina."
Nuevo Testamento Etíope,,,Didascalia de los Apóstoles,,siglo III d.C.,Griego/Siríaco (trad. al Ge'ez),"(s. III) Manual siríaco sobre deberes de obispos, diáconos, moral, liturgia y relación con la Ley judía"
Nuevo Testamento Etíope,,,Testamentum Domini,,siglo IV–V d.C.,Siríaco (trad. al Ge'ez),"“Testamento del Señor”; revelaciones post-resurrección de Jesús sobre liturgia, jerarquía y vida cristiana (s. IV-V)."
Evangelios Gnósticos / Nag Hammadi,,,,Evangelio de María Magdalena,siglo II d.C.,Griego (conservado en copto),Texto gnóstico (s. II) donde María relata visiones y enseñanzas secretas de Jesús a los discípulos. Destaca su rol de liderazgo y genera conflicto con Pedro y Andrés. Enfatiza el conocimiento interior (gnosis).
Evangelios Gnósticos / Nag Hammadi,,,,Evangelio de Tomás,siglo II d.C.,Griego (conservado en copto),"Colección de 114 dichos (logia) de Jesús, sin narración de su vida, muerte o resurrección. Mezcla material similar a los canónicos con elementos gnósticos. Enfatiza la búsqueda interior del Reino. Descubierto en Nag Hammadi."
Evangelios Gnósticos / Nag Hammadi,,,,Evangelio de Felipe,siglo III d.C.,Griego (conservado en copto),"Texto gnóstico valentiniano (s. II-III) con dichos y reflexiones sobre sacramentos (especialmente el matrimonio espiritual), la unidad y el rol de María Magdalena como compañera de Jesús. No narra una vida de Jesús."
Evangelios Gnósticos / Nag Hammadi,,,,Evangelio de Judas,siglo II d.C.,Griego (conservado en copto),"Gnóstico (s. II) donde Judas es el discípulo favorito que entrega a Jesús por orden suya, para liberar su espíritu del cuerpo. Presenta una cosmogonía gnóstica y critica a los otros apóstoles."
Evangelios Gnósticos / Nag Hammadi,,,,Evangelio de la Verdad,siglo II d.C.,Griego (conservado en copto),"Homilía gnóstica (posiblemente valentiniana, s. II) sobre la salvación por el conocimiento del Padre, el olvido causado por el error y la revelación de Jesús. Poético y meditativo, no narrativo."
Evangelios Gnósticos / Nag Hammadi,,,,Evangelio de los Egipcios,siglo II d.C.,Griego (conservado en copto),"Texto gnóstico (Nag Hammadi) con diálogo entre Jesús y discípulos sobre cosmogonía, salvación y temas ascéticos. Enfatiza la generación espiritual y el fin del mundo material"
Evangelios Gnósticos / Nag Hammadi,,,,Manuscritos de Nag Hammadi (colección completa),siglo I–IV d.C.,Griego/Copto (52 textos),"Biblioteca de unos 52 textos gnósticos cristianos (s. III-IV en copto, originales griegos anteriores) descubierta en Egipto en 1945. Incluye evangelios, apocalipsis, tratados filosóficos y revelaciones. Muestran la diversidad del cristianismo primitivo"
Apócrifos del Nuevo Testamento,,,,Evangelio de Pedro,siglo II d.C.,Griego,Fragmento (s. II) de la Pasión y Resurrección. Herodes ordena la crucifixión; presenta elementos docetistas (Jesús no sufre realmente). Incluye guardia en la tumba y resurrección presenciada
Apócrifos del Nuevo Testamento,,,,Proto-evangelio de Santiago,siglo II d.C.,Griego,"(s. II) Narra la infancia de María (hija de Joaquín y Ana), su virginidad y el nacimiento de Jesús. Influyó mucho en la tradición mariana (Presentación en el Templo, etc.)"
Apócrifos del Nuevo Testamento,,,,Evangelio de la Infancia de Tomás,siglo II d.C.,Griego,"Relatos fantásticos (s. II) del niño Jesús (5-12 años) haciendo milagros, a veces caprichosos o vengativos (mal dice a niños, resucita a otros). Muestra su poder divino precoz"
Apócrifos del Nuevo Testamento,,,,Evangelio de Nicodemo (Hechos de Pilato),siglo IV d.C.,Griego,"(s. IV) Juicio ante Pilato, crucifixión, resurrección y descenso de Jesús a los infiernos (Descensus). Incluye testimonios y apologética. Muy influyente en la Edad Media"
Apócrifos del Nuevo Testamento,,,,Hechos de Pablo y Tecla,siglo II d.C.,Griego,"Historia de Tecla, convertida por Pablo, que renuncia al matrimonio y enfrenta persecuciones. Enfatiza virginidad y apostolado femenino"
Apócrifos del Nuevo Testamento,,,,Hechos de Pedro,siglo II d.C.,Griego,"Milagros de Pedro en Roma, confrontación con Simón el Mago y su martirio (crucificado cabeza abajo)"
Apócrifos del Nuevo Testamento,,,,Hechos de Andrés,siglo III d.C.,Griego,"Viajes y predicación de Andrés, con énfasis en el ascetismo y martirio"
Apócrifos del Nuevo Testamento,,,,Hechos de Tomás,siglo III d.C.,Siríaco,Predicación de Tomás en India. Incluye himno de la Perla y énfasis gnóstico/ascético. Tomás es “hermano gemelo” de Jesús
Apócrifos del Nuevo Testamento,,,,Apocalipsis de Pedro,siglo II d.C.,Griego,Descripciones gráficas del cielo y el infierno (castigos de pecadores). Uno de los primeros en detallar el infierno
Apócrifos del Nuevo Testamento,,,,Apocalipsis de Pablo,siglo III–IV d.C.,Griego,"Visión de Pablo del más allá, con tours por cielo e infierno y énfasis en recompensas/castigos"
Apócrifos del Nuevo Testamento,,,,Epístola de los Apóstoles (Epistula Apostolorum),~150–180 d.C.,Griego (conservado en Ge'ez/copto),Diálogo post-resurrección de Jesús con los apóstoles. Combate herejías y afirma la resurrección corporal.
Literatura Cristiana Primitiva,,,,1 Clemente,~95 d.C.,Griego,"Carta de la iglesia de Roma a Corinto (finales s. I). Enfatiza orden, obediencia y unidad"
Literatura Cristiana Primitiva,,,,Didaché (Doctrina de los Doce Apóstoles),siglo I–II d.C.,Griego,"Manual (s. I-II) de moral, rituales (bautismo, eucaristía) y organización eclesial. Muy primitivo"
Literatura Cristiana Primitiva,,,,Carta de Bernabé,siglo II d.C.,Griego,Alegórica (s. II). Interpreta el AT como prefiguración cristiana; fuerte tono antijudaico
Literatura Cristiana Primitiva,,,,Pastor de Hermas,~150 d.C.,Griego,Visión apocalíptica (s. II) con parábolas sobre arrepentimiento y la Iglesia
Pseudoepígrafos del Segundo Templo,,,,Salmos de Salomón,siglo I a.C.,Hebreo/Griego,"Poemas judíos (s. I a.C.) sobre justicia, Mesías y crítica a los hasmoneos"
Pseudoepígrafos del Segundo Templo,,,,Libro de Adán y Eva (Vida de Adán y Eva),siglo I–IV d.C.,Griego/Latino,"Expansión de Génesis sobre la vida de Adán y Eva tras la expulsión, penitencia y muerte"
Pseudoepígrafos del Segundo Templo,,,,Testamento de los 12 Patriarcas,siglo II a.C.–II d.C.,Griego,"Discursos de los hijos de Jacob con ética, profecías mesiánicas y elementos cristianos interpolados"
Pseudoepígrafos del Segundo Templo,,,,Apocalipsis de Abraham,siglo I–II d.C.,Eslavo (orig. hebreo/arameo),Enseñanzas esotéricas de Jesús transmitidas a María; destaca el conocimiento interior y que ella era su mejor discípula.
Pseudoepígrafos del Segundo Templo,,,,2 Enoc (Libro de los Secretos de Enoc),siglo I d.C.,Eslavo (orig. griego),"Enoc cuenta que el Sol y la Luna se mueven con maquinarias, cuenta los 7 cielos arriba de la Tierra y la jerarquia de angeles."
Pseudoepígrafos del Segundo Templo,,,,3 Enoc (Enoc hebreo),siglo V–VII d.C.,Hebreo,Enoc es promovido a arcangel y relata como es ver a Dios a los ojos.
Pseudoepígrafos del Segundo Templo,,,,Ascensión de Isaías,siglo I–II d.C.,Ge'ez/Latino (orig. hebreo),"Visión de Isaías del cielo, descenso del Cristo y martirio"
Pseudoepígrafos del Segundo Templo,,,,Testamento de Moisés (Asunción de Moisés),siglo I d.C.,Latino (orig. arameo/hebreo),"Aunque esta parte se perdió en el manuscrito original, se sabe por otras fuentes (como la Epístola de Judas en el Nuevo Testamento) que el texto incluía una pelea entre el arcángel Miguel y Satanás por el cuerpo de Moisés"
Pseudoepígrafos del Segundo Templo,,,,Testamento de Job,siglo I a.C.–I d.C.,Griego,"Un discurso final que Job dirige a sus hijos antes de morir, centrándose en su lucha contra la idolatría y la guerra espiritual directa contra Satanás."
Pseudoepígrafos del Segundo Templo,,,,Testamento de Abraham,siglo I–II d.C.,Griego,"(siglos I-II d.C.) que, a diferencia del Apocalipsis de Abraham que se centraba en la idolatría y el futuro de Israel, narra los últimos días de Abraham y su reticencia a morir"
Pseudoepígrafos del Segundo Templo,,,,Odas de Salomón,siglo I–II d.C.,Siríaco,"Himnos cristianos primitivos (s. II) de gozo, salvación y gnosis"
Pseudoepígrafos del Segundo Templo,,,,Carta de Aristeas,siglo II–I a.C.,Griego,Narrativa (s. II a.C.) sobre la traducción de la Septuaginta
Pseudoepígrafos del Segundo Templo,,,,4 Esdras (Apocalipsis de Esdras),siglo I d.C.,Latino (orig. hebreo),"Visiones apocalípticas sobre el fin, el Mesías y el problema del mal"
Pseudoepígrafos del Segundo Templo,,,,2 Baruc (Apocalipsis de Baruc),siglo I–II d.C.,Siríaco,Visión tras la destrucción del Templo; consuelo y escatología
Pseudoepígrafos del Segundo Templo,,,,3 Baruc,siglo II d.C.,Griego/Eslavo,Viaje por cielos con revelaciones angelicales
Textos de Qumrán / Rollos del Mar Muerto,,,,Textos de Qumrán (colección completa),~150 a.C.–70 d.C.,Hebreo/Arameo (300+ rollos),"Biblioteca esenita (s. II a.C.-I d.C.) con reglas, himnos, comentarios bíblicos y apocalípticos. Muestran judaísmo diverso pre-cristiano"
Textos de Qumrán / Rollos del Mar Muerto,,,,Génesis Apócrifo,siglo I a.C.,Arameo,"El bebé nació con una apariencia divina y radiante. Su esposa, Bathenosh, tiene que jurarle. El manuscrito se esfuerza mucho por delimitar las tierras prometidas a Abraham y cómo se repartió el mundo entre los hijos de Noé, funcionando casi como un ""atlas bíblico"" de la época"
Textos de Qumrán / Rollos del Mar Muerto,,,,Rollo de Lamec (parte del Génesis Apócrifo),siglo I a.C.,Arameo,Lamec se preocupa al ver que su hijo recién nacido puede ser un Vigilantes o Nephilim y le consulta a Enoc.
Textos de Qumrán / Rollos del Mar Muerto,,,,Regla de la Comunidad (1QS),~100 a.C.,Hebreo,Manual de disciplina y organización de la secta esenita
Textos de Qumrán / Rollos del Mar Muerto,,,,Guerra de los Hijos de la Luz contra los Hijos de las Tinieblas,~100–50 a.C.,Hebreo,Reglamento apocalíptico de la guerra final
Textos de Qumrán / Rollos del Mar Muerto,,,,Rollo del Templo (11QT),siglo II a.C.,Hebreo,Descripción ideal del Templo y leyes
Textos de Qumrán / Rollos del Mar Muerto,,,,Documento de Damasco,siglo I a.C.,Hebreo,Reglas comunitarias y historia
Textos de Qumrán / Rollos del Mar Muerto,,,,Comentario de Habacuc (1QpHab),siglo I a.C.,Hebreo,Comentario (pesher) actualizando el profeta a la secta
Textos de Qumrán / Rollos del Mar Muerto,,,,Himnos de Acción de Gracias (1QH),siglo I a.C.,Hebreo,Poemas de alabanza y dualismo
Canon Ortodoxo Oriental,,,,3 Macabeos,siglo I a.C.,Griego,Narrativa judía helenística sobre persecución en Egipto y liberación milagrosa
Canon Ortodoxo Oriental,,,,4 Macabeos,siglo I d.C.,Griego,Filosófico; elogia el dominio de la razón (y la ley) sobre las pasiones mediante ejemplos de mártires macabeos
Canon Ortodoxo Oriental,,,,Oración de Manasés,siglo II–I a.C.,Griego,Oración penitencial del rey Manasés (expansión de 2 Crónicas)
Canon Ortodoxo Oriental,,,,Salmo 151,siglo II a.C.,Hebreo (Qumrán),Salmo davídico sobre su unción y victoria sobre Goliat (en Septuaginta y Qumrán)
